-82.5          277.5        0.201         0.015         9999.999
-82.5          282.5        0.201         0.015         9999.999
-82.5          287.5        0.200         0.015         9999.999
-82.5          292.5        0.196         0.015         9999.999
-82.5          297.5        0.191         0.015         9999.999
-82.5          302.5        0.189         0.015         9999.999
-82.5          307.5        0.189         0.015         9999.999
-82.5          312.5        0.186         0.015         9999.999
-82.5          317.5        0.179         0.015         9999.999
-82.5          322.5        0.176         0.015         9999.999
-82.5          327.5        0.178         0.015         9999.999
-82.5          332.5        0.181         0.015         9999.999
-82.5          337.5        0.181         0.015         9999.999
-82.5          342.5        0.178         0.015         9999.999
-82.5          347.5        0.177         0.015         9999.999
-82.5          352.5        0.177         0.015         9999.999
-82.5          357.5        0.177         0.015         9999.999
-77.5          2.5          0.219         0.019         9999.999
-77.5          7.5          0.221         0.019         9999.999
-77.5          12.5         0.224         0.019         9999.999
-77.5          17.5         0.224         0.019         9999.999
-77.5          22.5         0.222         0.019         9999.999
-77.5          27.5         0.223         0.019         9999.999
-77.5          32.5         0.222         0.019         9999.999
-77.5          37.5         0.225         0.019         9999.999
-77.5          42.5         0.235         0.019         9999.999
-77.5          47.5         0.240         0.019         9999.999
-77.5          52.5         0.243         0.019         9999.999
-77.5          57.5         0.249         0.019         9999.999
-77.5          62.5         0.251         0.019         9999.999
-77.5          67.5         0.252         0.019         9999.999
-77.5          72.5         0.254         0.019         9999.999
-77.5          77.5         0.250         0.019         9999.999
-77.5          82.5         0.244         0.019         9999.999
-77.5          87.5         0.246         0.019         9999.999
-77.5          92.5         0.242         0.019         9999.999
-77.5          97.5         0.238         0.019         9999.999
-77.5          102.5        0.236         0.019         9999.999
-77.5          107.5        0.231         0.019         9999.999
-77.5          112.5        0.229         0.019         9999.999
-77.5          117.5        0.231         0.019         9999.999
-77.5          122.5        0.236         0.019         9999.999
-77.5          127.5        0.242         0.019         9999.999
-77.5          132.5        0.249         0.019         9999.999
-77.5          137.5        0.255         0.018         9999.999
-77.5          142.5        0.257         0.018         9999.999
-77.5          147.5        0.260         0.018         9999.999
-77.5          152.5        0.266         0.018         9999.999
-77.5          157.5        0.269         0.018         9999.999
-77.5          162.5        0.268         0.018         9999.999
-77.5          167.5        0.265         0.018         9999.999
-77.5          172.5        0.259         0.018         9999.999
